"""country_name"",""country_text_id"",""country_id"",""year"",""v2x_polyarchy"",""v2x_regime"",""e_boix_regime"",""e_polity2"",""e_regionpol"",""e_regionpol_6C"",""dir_crim"",""ind_crim"",""gmc"",""gmcpr"",""gmcphys"",""gmcpsych"",""gmcdiv"",""nb3g"",""adp_general"",""adp_constitution"",""adp_employment"",""adp_education"",""adp_healthcare"",""adp_housing"",""trip_score"",""trip_percent"",""wb_gdppc"",""lgdppc_wb"",""religiosity_percent"",""no_dircrim"",""no_indcrim"",""nophys"",""nopsych"",""nodiv"""
"Sierra Leone,""SLE"",95,2019,0.55,2,1,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,506.606894364098,6.22773551940918,1,1,0,0,0,0"
"Spain,""ESP"",96,2019,0.875,3,1,NA,5,5,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4,0.307692319154739,29581.5185513299,10.2949047088623,0.791999995708466,1,1,0,0,1"
"Syria,""SYR"",97,2019,0.138,0,0,NA,3,3,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,1116.67924613649,7.01811456680298,0.980000019073486,1,0,0,0,0"
"Tunisia,""TUN"",98,2019,0.722,2,1,NA,3,3,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,3477.88377711232,8.15417957305908,1,1,0,0,0,0"
"Turkey,""TUR"",99,2019,0.288,1,0,NA,3,3,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,0.15384615957737,9103.04337531894,9.11636447906494,0.98800003528595,1,0,0,0,0"
"Ukraine,""UKR"",100,2019,0.499,1,1,NA,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,4,0.307692319154739,3661.45629882813,8.20561599731445,0.87279999256134,1,0,0,0,1"
"United Kingdom,""GBR"",101,2019,0.86,3,1,NA,5,5,0,0,1,1,0,1,1,0,1,0,1,1,1,1,9,0.692307710647583,42747.080460496,10.6630563735962,0.691399991512299,1,1,1,0,0"
"Uruguay,""URY"",102,2019,0.89,3,1,NA,2,2,0,0,1,0,0,0,0,1,1,0,1,1,1,1,12,0.923076927661896,17859.9314960921,9.79031467437744,0.585799992084503,1,1,1,1,1"
"Algeria,""DZA"",103,2019,0.287,1,0,NA,3,3,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,4022.15018374716,8.2995719909668,0.98199999332428,1,0,0,0,0"
"Angola,""AGO"",104,2019,0.365,1,0,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,2142.23875712854,7.66960668563843,0.948099970817566,1,0,0,0,0"
